client_id,age,gender_cd,education_level,city_nm,monthly_income_amt,steam_popularity_score,category_name,good_price,count
1-1QK96F4,32.0,M,UGR,Москва,86000.0,6.0,Ролевые (RPG),1299.0,1
1-1QK99R7,35.0,M,GRD,Москва,230000.0,1322.0,Приключения,541.0,1
1-1QLK4ON,38.0,M,GRD,Москва,434000.0,0.0,Инди,899.0,1
1-1S56877,50.0,M,SCH,Москва,113222.16666666667,229.5,Стратегии,757.005,6
1-1SJORBI,40.0,M,GRD,Санкт-Петербург,116000.0,0.0,Стратегии,214.22222222222223,9
1-1SRRLPO,47.0,M,SCH,Самара,218000.0,23.0,['Ролевые (RPG)' 'Экшн'],2164.0,2
1-1W2VOL4,47.0,M,GRD,Санкт-Петербург,14000.0,0.0,Бестселлеры,642.56,1
1-1W8QL2I,34.0,M,GRD,['Нижний Новгород' 'Санкт-Петербург'],62000.0,24.0,['Симуляторы' 'Экшн'],187.25,2
1-1X1HMVB,37.0,M,GRD,Москва,12200.0,391.2352941176471,Экшн,648.3288235294118,17
1-1XEKEUQ,46.0,M,GRD,Москва,26000.0,1274.0,Приключения,499.0,1
1-1XL7JXE,36.0,M,GRD,Москва,230000.0,88.5,['Гонки' 'Инди' 'Симуляторы' 'Стратегии'],659.0,4
1-1Y4DEYI,47.0,M,GRD,Санкт-Петербург,38000.0,1101.75,Бестселлеры,593.75,4
1-1YDKI52,38.0,M,UGR,Москва,110000.0,0.0,Ролевые (RPG),5934.88,1
1-1ZUWFDC,35.0,M,UGR,Пермь,44000.0,0.0,Экшн,319.2,1
1-1ZWZI4S,36.0,M,UGR,Санкт-Петербург,470000.0,262.0,['Другое' 'Симуляторы'],1379.5,2
1-204QUB0,40.0,M,UGR,Санкт-Петербург,134000.0,176.0,Ролевые (RPG),359.7,1
1-221AQW0,35.0,M,UGR,Санкт-Петербург,65600.0,2623.0,Приключения,260.0,1
1-227AU3Y,35.0,F,UGR,Санкт-Петербург,110000.0,0.0,Аркады,13.43,1
1-24OH8DK,36.0,M,GRD,['Нижний Новгород' 'Санкт-Петербург'],206000.0,1506.0,['Ролевые (RPG)' 'Симуляторы'],529.505,2
1-25PEI0E,34.0,M,SCH,Санкт-Петербург,80000.0,0.0,Симуляторы,129.9,1
1-26IESO6,45.0,F,UGR,Санкт-Петербург,74000.0,0.0,Стратегии,736.33,1
1-26TB4ND,35.0,M,SCH,Москва,98000.0,0.0,Скидки,259.55,3
1-279ODQM,45.0,M,PGR,Москва,3590000.0,0.0,Экшн,1659.0,1
1-27VL0O8,34.0,M,UGR,Санкт-Петербург,158000.0,1657.0,Приключения,999.5,1
1-28BE5Z,41.0,M,GRD,Ростов-на-Дону,134000.0,584.0,Стратегии,854.1,1
1-29AL76S,36.0,M,UGR,Санкт-Петербург,266000.0,0.0,Бестселлеры,329.0,1
1-29QP844,43.0,F,GRD,Ростов-на-Дону,86000.0,46.0,Ролевые (RPG),3999.0,1
1-2BVUU5Y,43.0,F,UGR,Санкт-Петербург,140000.0,0.0,Экшн,399.6,1
1-2CZYTTH,42.0,M,SCH,Самара,50000.0,520.0,Приключения,149.75,1
1-2DFPDEW,38.0,M,UGR,Новосибирск,290000.0,176.0,Ролевые (RPG),974.35,1
1-2DLJKKI,36.0,M,GRD,Москва,86000.0,0.0,Стратегии,209.5,1
1-2GMQCK0,32.0,M,GRD,Москва,62000.0,237.75,['Приключения' 'Симуляторы'],192.0375,8
1-2GYSTI,44.0,F,GRD,Челябинск,47600.0,344.72727272727275,['Скидки' 'Стратегии'],156.79090909090908,11
1-2HT3WQY,40.0,M,GRD,Москва,158000.0,0.0,Симуляторы,710.0,1
1-2INOQ5K,46.0,F,GRD,Москва,26000.0,1424.5,Инди,200.125,2
1-2JPSLE3,33.0,M,['GRD' 'SCH'],['Новосибирск' 'Санкт-Петербург'],410000.0,23.0,Экшн,2553.94,2
1-2KD8KDN,37.0,M,GRD,Санкт-Петербург,470000.0,130.0,Бестселлеры,1600.0,1
1-2LH77D7,43.0,M,SCH,Челябинск,74000.0,0.0,Экшн,329.0,3
1-2NEHEB,38.0,M,GRD,Санкт-Петербург,146000.0,0.0,Новинки,1499.0,1
1-2NEIRUZ,41.0,M,GRD,Москва,152000.0,0.0,Стратегии,115.18,1
1-2NMD1WV,49.0,M,GRD,Москва,110000.0,2318.0,Инди,107.8,1
1-2OI2FPX,41.0,M,GRD,Санкт-Петербург,86000.0,1369.5,['Аркады' 'Ролевые (RPG)'],590.5,2
1-2TJOD2P,34.0,M,UGR,Москва,278000.0,161.5,Экшн,1246.125,8
1-2VCYAKF,43.0,M,GRD,Нижний Новгород,80000.0,0.0,Приключения,128.75,1
1-2XJPLUJ,52.0,M,GRD,Москва,470000.0,0.0,['Ролевые (RPG)' 'Экшн'],2194.65,2
1-2YAD42J,51.0,M,GRD,Омск,8000.0,736.4285714285714,['Гонки' 'Инди' 'Симуляторы'],112.83571428571429,7
1-2YVARB9,37.0,M,GRD,Москва,290000.0,0.0,Симуляторы,274.77333333333337,15
1-30ZTSU9,43.0,M,GRD,Москва,98000.0,0.0,Бестселлеры,340.0,1
1-32YVPUT,33.0,M,UGR,Санкт-Петербург,350000.0,64.0,Стратегии,174.75,1
1-33UPC79,40.0,M,GRD,Москва,29600.0,0.0,Стратегии,390.0,1
1-34J021O,30.0,M,GRD,Санкт-Петербург,110000.0,473.6666666666667,Приключения,1389.0,3
1-34P1VCX,32.0,M,GRD,Екатеринбург,14000.0,0.0,['Бестселлеры' 'Скидки'],625.0,2
1-354RYPU,31.0,F,SCH,Москва,326000.0,0.0,['Бестселлеры' 'Приключения' 'Ролевые (RPG)'],1282.97,3
1-358HUHJ,34.0,M,UGR,Москва,290000.0,0.0,Экшн,199.8,1
1-378T6GX,31.0,F,UGR,Москва,245600.0,373.0,Экшн,814.0,1
1-37TH6RZ,36.0,M,GRD,Москва,50000.0,0.0,Экшн,679.0,1
1-37VF4LN,33.0,M,SCH,Москва,86000.0,495.44444444444446,Стратегии,76.94666666666666,9
1-39YE20R,35.0,M,UGR,Уфа,284000.0,0.0,Ролевые (RPG),385.0,1
1-3AA8OA9,35.0,M,UGR,Москва,50000.0,0.0,Инди,567.8,1
1-3AK2KWH,36.0,M,GRD,Краснодар,278000.0,0.0,Экшн,280.0,1
1-3B23O8X,33.0,M,SCH,Нижний Новгород,86000.0,1323.0,Экшн,59.85,1
1-3D4EWCV,63.0,M,UGR,Санкт-Петербург,50000.0,1108.0,Симуляторы,449.1,1
1-3DHFHVY,31.0,M,UGR,Москва,350000.0,0.0,['Скидки' 'Экшн'],343.5,2
1-3DK1YCZ,36.0,M,GRD,Самара,134000.0,4386.0,Казуальные игры,133.0,1
1-3EHMBPR,37.0,M,GRD,Санкт-Петербург,230000.0,0.0,Ролевые (RPG),1374.325,4
1-3EYTLE9,38.0,M,GRD,Омск,230000.0,0.0,Скидки,329.0,1
1-3EZGIK3,38.0,M,GRD,Москва,410000.0,0.0,Симуляторы,35.6925,8
1-3F05OQB,44.0,M,SCH,['Москва' 'Ростов-на-Дону'],141152.0,0.0,['Гонки' 'Симуляторы'],159.65,2
1-3GQ8I2B,36.0,M,UGR,['Москва' 'Санкт-Петербург'],86000.0,0.0,Шутеры,393.57000000000005,2
1-3HGRIKD,36.0,M,GRD,Санкт-Петербург,104000.0,0.0,Скидки,27.89,1
1-3KNENBP,39.0,M,GRD,Ростов-на-Дону,38000.0,3214.0,Приключения,382.25,1
1-3L6BXU5,33.0,M,GRD,Москва,110000.0,0.0,Симуляторы,128.5111111111111,9
1-3NKQLQ8,32.0,F,GRD,Москва,110000.0,373.0,Экшн,814.0,1
1-3T36BQV,35.0,F,SCH,Москва,110000.0,0.0,Экшн,759.6,1
1-3TC6IG5,34.0,M,SCH,Москва,110000.0,447.85714285714283,['Приключения' 'Экшн'],249.87142857142857,7
1-3VUMW4R,44.0,M,GRD,Москва,182000.0,359.0,Скидки,999.5,1
1-3W2SQPS,43.0,M,GRD,Москва,86000.0,0.0,Скидки,360.0,1
1-3Y1797I,40.0,M,PGR,Волгоград,110000.0,0.0,Инди,320.0,1
1-3ZHRJEE,32.0,M,GRD,Санкт-Петербург,170000.0,0.0,Экшн,3999.0,1
1-40X4AIJ,35.0,M,SCH,Москва,20000.0,0.0,Инди,133.0,1
1-417ZVGA,44.0,M,GRD,Екатеринбург,230000.0,0.0,['Симуляторы' 'Стратегии'],297.9375,4
1-421G2JA,34.0,M,GRD,Красноярск,230000.0,0.0,Скидки,764.8925,8
1-43WKDUH,44.0,M,GRD,['Москва' 'Санкт-Петербург'],106400.0,0.0,Экшн,799.5,2
1-449NZTV,37.0,M,PGR,Москва,110000.0,0.0,Ролевые (RPG),2799.3,1
1-46ULG2Z,39.0,M,GRD,Нижний Новгород,134000.0,0.0,Экшн,3412.72,1
1-46WC90L,44.0,M,GRD,Москва,170000.0,6.0,Стратегии,300.96375,8
1-49WHEZ3,41.0,M,PGR,Москва,218000.0,0.0,VR,29.0,1
1-49ZS1TS,48.0,M,GRD,Санкт-Петербург,50000.0,109.8,Ролевые (RPG),454.53999999999996,5
1-4C35ZG9,39.0,M,GRD,Москва,20000.0,0.0,Стратегии,153.77777777777777,9
1-4FQQA85,42.0,M,GRD,['Казань' 'Москва'],134000.0,0.0,Экшн,415.8,2
1-4JYEQ89,37.0,M,GRD,Москва,30800.0,2.0,Экшн,6134.13,1
1-4QN6KV4,44.0,M,GRD,Москва,290000.0,373.0,Экшн,814.0,1
1-4TVXP0Q,34.0,M,UGR,['Новосибирск' 'Ростов-на-Дону'],4400.0,298.5,['Стратегии' 'Хоррор'],484.15,2
1-4V9CVAC,41.0,M,GRD,Красноярск,140000.0,0.0,Стратегии,111.72,1
1-4VCJK0X,41.0,M,UGR,Санкт-Петербург,446000.0,0.0,Экшн,3709.3,1
1-4VGVS8L,33.0,M,UGR,Москва,62000.0,0.0,Шутеры,329.0,1
1-4XT8NJD,39.0,M,SCH,Уфа,50000.0,0.0,Инди,119.2,1
1-4YL1THX,33.0,M,SCH,Уфа,80000.0,0.0,Экшн,2999.0,1
1-4ZLL5LY,38.0,F,PGR,Москва,248535.33333333334,829.3333333333334,Инди,388.7866666666667,3
1-503V4OH,35.0,M,GRD,Москва,98000.0,0.0,['Приключения' 'Скидки'],40.5,7
1-52EGH7N,37.0,M,GRD,Самара,198800.0,2329.0,Экшн,97.72,1
1-53GYTK2,38.0,M,PGR,Екатеринбург,230000.0,76.4,Стратегии,143.91,5
1-53X8294,44.0,M,UGR,Нижний Новгород,132784.0,0.0,['Скидки' 'Стратегии'],415.5,2
1-53XYV0W,48.0,F,GRD,Санкт-Петербург,290000.0,0.0,Симуляторы,25.98,1
1-54R5IRQ,43.0,M,UGR,Уфа,110000.0,0.0,Инди,12.99,1
1-56E51KD,32.0,M,GRD,Уфа,146000.0,1206.0,Стратегии,1999.0,1
1-57OJWBB,34.0,M,UGR,Москва,44000.0,152.0,Симуляторы,2479.0,1
1-57Y1GVE,35.0,M,SCH,Самара,38000.0,0.0,Стратегии,175.0,1
1-584UXC7,52.0,M,SCH,Самара,38000.0,0.0,Экшн,629.0,1
1-594P5T7,35.0,M,GRD,Волгоград,440.0,3328.0,Стратегии,403.2,1
1-59L3Q3R,34.0,M,GRD,Москва,154400.0,0.0,Приключения,399.6,1
1-5B07N67,40.0,M,SCH,['Москва' 'Санкт-Петербург'],86000.0,77.0,['Стратегии' 'Экшн'],769.3,2
1-5BWK9ZC,39.0,M,GRD,Москва,254000.0,0.0,Стратегии,435.0,1
1-5BYC15G,44.0,M,['GRD' 'SCH'],Москва,217309.5,648.5,['Инди' 'Экшн'],559.0,2
1-5C5HA3C,43.0,M,GRD,Москва,146000.0,58.666666666666664,Ролевые (RPG),269.46666666666664,3
1-5E52VRK,58.0,M,GRD,Москва,80000.0,1705.0,Приключения,799.0,1
1-5EIG565,34.0,M,GRD,Москва,206000.0,0.0,Ролевые (RPG),1342.88,1
1-5EU8HRI,38.0,M,GRD,Москва,170000.0,0.0,Симуляторы,219.6,1
1-5HAU6LZ,32.0,M,GRD,Москва,157509.35294117648,274.6470588235294,Стратегии,299.3023529411765,17
1-5JCTS8N,35.0,M,GRD,Москва,86000.0,1747.0,['Ролевые (RPG)' 'Экшн'],226.1,2
1-5KNGTTU,38.0,M,SCH,Москва,26000.0,0.0,Скидки,759.6,1
1-5MB17ML,35.0,M,SCH,['Москва' 'Санкт-Петербург'],183200.0,0.0,Стратегии,166.32,2
1-5NWPKPE,48.0,M,UGR,Москва,108856.0,1896.0,Ролевые (RPG),899.0,1
1-5OYYKHA,43.0,M,GRD,Москва,128000.0,2883.0,Приключения,1249.0,1
1-5PULC2Y,37.0,M,GRD,Москва,29600.0,88.0,['Приключения' 'Ролевые (RPG)'],936.675,2
1-5PWY0TO,40.0,M,GRD,Казань,134000.0,0.0,Скидки,679.0,1
1-5RHTI5N,40.0,M,GRD,Санкт-Петербург,122000.0,23.0,['Приключения' 'Экшн'],2464.5,2
1-5SI9EUL,40.0,M,UGR,Нижний Новгород,77600.0,0.0,Приключения,5790.0,1
1-5TGMBC4,35.0,M,GRD,Москва,230000.0,3699.0,Хоррор,13.3,1
1-5U2ULND,33.0,M,UGR,Москва,134000.0,2562.0,Стратегии,181.25,1
1-5UDT7HD,40.0,M,GRD,Челябинск,86000.0,0.0,Стратегии,336.3333333333333,3
1-5V2091N,45.0,M,GRD,Омск,470000.0,0.0,Симуляторы,450.0,1
1-5WLH5AJ,37.0,M,GRD,Москва,434000.0,0.0,VR,7.25,1
1-5Y1AB5P,37.0,M,UGR,Москва,110000.0,2105.0,Ролевые (RPG),22.35,1
1-5Z8ZIVM,35.0,M,UGR,['Екатеринбург' 'Нижний Новгород'],410000.0,0.0,Другое,2564.0,2
1-5ZVH99G,35.0,M,GRD,Уфа,134000.0,0.0,Скидки,555.0,1
1-60CUXAP,34.0,M,GRD,Москва,590000.0,2000.0,Приключения,128.75,1
1-60DNJ5F,32.0,M,SCH,Екатеринбург,74000.0,269.0,Стратегии,435.0,1
1-61MCDY3,33.0,M,GRD,Москва,254000.0,0.0,Скидки,130.0,1
1-62K6DJZ,37.0,F,SCH,Санкт-Петербург,50000.0,0.0,['Инди' 'Симуляторы' 'Шутеры' 'Экшн'],164.475,4
1-62KJ6M1,31.0,M,SCH,Москва,230000.0,32.5,Скидки,854.5,2
1-62PCSGH,38.0,M,UGR,Москва,110000.0,253.0,Приключения,334.88,1
1-6AFZP91,38.0,M,UGR,Москва,92000.0,2562.0,Стратегии,181.25,1
1-6BQ2Q95,34.0,M,SCH,Краснодар,26000.0,0.0,Скидки,39.8,1
1-6F5Q4GT,42.0,F,SCH,Москва,4400.0,0.0,['Хоррор' 'Экшн'],177.375,2
1-6FBE198,35.0,M,GRD,Москва,650000.0,1374.0,Симуляторы,499.0,1
1-6GSPNAN,37.0,M,GRD,Москва,86000.0,2105.0,Ролевые (RPG),149.01,1
1-6H3DD5T,34.0,M,GRD,Москва,26000.0,0.0,Экшн,2.32,1
1-6MQHVAT,39.0,M,GRD,Москва,134000.0,401.0,['Симуляторы' 'Экшн'],1749.0,2
1-6MQWG7M,34.0,M,UGR,Москва,230000.0,0.0,Инди,15.0,1
1-6OXMT5M,33.0,M,GRD,Воронеж,57661.0,0.0,Другое,929.0,1
1-6S8XASX,39.0,M,GRD,Москва,110000.0,0.0,Экшн,829.0,1
1-6UJEXC7,29.0,F,UGR,Новосибирск,4400.0,0.0,Симуляторы,299.0,1
1-6USG9WF,33.0,M,GRD,Москва,98000.0,2444.0,Гонки,29.0,1
1-6VOH18S,36.0,M,GRD,Санкт-Петербург,129759.0,0.0,Казуальные игры,537.3,1
1-6W4GU8K,34.0,M,GRD,Ростов-на-Дону,80000.0,1567.0,Ролевые (RPG),206.0,2
1-6ZFWSA5,42.0,M,GRD,Санкт-Петербург,290000.0,77.0,Стратегии,1099.0,1
1-6ZZV1AX,33.0,M,GRD,Уфа,110000.0,0.0,Ролевые (RPG),59.8,1
1-72Z1QCJ,34.0,M,GRD,Краснодар,110000.0,0.0,Экшн,494.45,1
1-73XQVMJ,37.0,M,UGR,Новосибирск,86000.0,0.0,Скидки,360.0,1
1-755ZOAO,34.0,M,UGR,Москва,26000.0,1108.3333333333333,Экшн,397.99500000000006,6
1-780RXS8,39.0,M,PGR,Москва,590000.0,130.0,Стратегии,1600.0,1
1-7AWM6LS,38.0,M,GRD,Москва,309200.0,4125.0,Стратегии,267.3,1
1-7CBIIB9,37.0,M,GRD,Москва,134000.0,88.0,['Ролевые (RPG)' 'Стратегии'],671.675,2
1-7CSGSPS,32.0,M,GRD,Москва,130672.0,1676.0,Инди,440.0,1
1-7FR40JJ,32.0,F,SCH,Москва,98000.0,3619.0,Экшн,515.0,1
1-7FSOD90,29.0,M,GRD,Москва,134000.0,218.0,['Приключения' 'Экшн'],320.0,2
1-7G0BYM1,37.0,M,SCH,Санкт-Петербург,350000.0,1657.0,Приключения,1999.0,1
1-7GW14GQ,32.0,M,GRD,Москва,146000.0,2030.5,Стратегии,304.0,2
1-7I91MNB,32.0,M,GRD,Москва,50000.0,0.0,Экшн,899.5,1
1-7J56WMJ,34.0,M,UGR,Челябинск,110000.0,0.0,Ролевые (RPG),385.0,1
1-7JOSRID,40.0,M,SCH,Москва,50000.0,38.0,Симуляторы,914.155,4
1-7LQ5UP7,31.0,F,UGR,Новосибирск,110000.0,68.33333333333333,Стратегии,412.6666666666667,3
1-7MM2ME7,43.0,M,GRD,Санкт-Петербург,110000.0,0.0,['Xbox подписка' 'Другое'],1664.0,2
1-7MPTCPB,36.0,M,SCH,Ростов-на-Дону,38000.0,1128.0,Приключения,499.5,1
1-7P97OSL,39.0,M,GRD,Москва,290000.0,130.0,Стратегии,1600.0,1
1-7QF98S3,43.0,F,GRD,Москва,38000.0,0.0,Гонки,59.6125,4
1-7TSELKC,43.0,M,GRD,Новосибирск,93200.0,0.0,Инди,79.9,1
1-7TUSPOS,36.0,M,GRD,Москва,350000.0,0.0,Для детей,812.0,1
1-7UO237N,41.0,F,GRD,['Москва' 'Новосибирск'],50000.0,27.0,['Anime' 'Экшн'],282.45799999999997,5
1-7UPE0P0,39.0,M,GRD,Санкт-Петербург,230000.0,0.0,Стратегии,72.0,1
1-7VCR2Q6,40.0,M,GRD,Москва,74000.0,802.0,Стратегии,1999.0,1
1-7VYMUBL,33.0,M,GRD,Москва,62000.0,282.0,Скидки,1291.54,1
1-7W1QEU6,30.0,M,GRD,Нижний Новгород,110000.0,0.0,Приключения,232.5,1
1-7WHVNYC,42.0,M,GRD,Санкт-Петербург,44000.0,0.0,Симуляторы,435.0,1
1-7Z480WP,34.0,M,GRD,Москва,146000.0,392.0,['Инди' 'Казуальные игры' 'Приключения' 'Экшн'],496.5,4
1-7ZULR51,33.0,M,UGR,Новосибирск,170000.0,46.0,Ролевые (RPG),3999.0,1
1-7ZZXZTC,36.0,M,GRD,Самара,122000.0,348.1666666666667,Экшн,596.6925,12
1-80BI8GU,31.0,M,UGR,Москва,314000.0,0.0,['Xbox подписка' 'Другое'],1056.5,4
1-80RNIN1,33.0,M,GRD,Москва,230000.0,0.0,Скидки,384.45,1
1-81L81RE,34.0,M,GRD,Санкт-Петербург,83600.0,0.0,Шутеры,390.0,1
1-82R9YX3,34.0,M,PGR,Москва,134000.0,26.0,Бестселлеры,325.0,1
1-84QUV7A,32.0,M,GRD,Санкт-Петербург,266000.0,198.0,Ролевые (RPG),299.4,1
1-8B6BTKV,48.0,F,PGR,Москва,80000.0,0.0,Казуальные игры,39.9,1
1-8BXMIQX,36.0,M,GRD,['Москва' 'Санкт-Петербург'],206000.0,865.5,['Стратегии' 'Экшн'],1134.425,2
1-8COU9N0,39.0,M,GRD,Омск,950000.0,46.0,Ролевые (RPG),4478.88,1
1-8CTV3A8,40.0,M,UGR,Москва,170000.0,0.0,Симуляторы,379.2833333333333,3
1-8EPZLTE,43.0,M,GRD,Екатеринбург,290000.0,0.0,Стратегии,435.0,1
1-8GJQLVA,40.0,M,GRD,Санкт-Петербург,230000.0,0.0,Приключения,559.6,1
1-8H8VAWZ,33.0,M,UGR,Санкт-Петербург,62000.0,2318.0,Казуальные игры,154.0,1
1-8I3POSS,36.0,M,GRD,['Москва' 'Омск' 'Санкт-Петербург'],230000.0,173.33333333333334,['Бестселлеры' 'Приключения' 'Экшн'],220.33333333333334,3
1-8IVH9US,36.0,M,SCH,Санкт-Петербург,110000.0,1297.0,Скидки,419.0,1
1-8K8H242,41.0,M,UGR,Москва,249167.0,46.0,Экшн,4478.88,1
1-8LNNBJV,33.0,M,SCH,Москва,170000.0,0.0,Экшн,5425.0,1
1-8LT93GK,40.0,M,GRD,Москва,830000.0,2262.6666666666665,['Инди' 'Приключения' 'Экшн'],432.25333333333333,3
1-8NR287L,37.0,M,GRD,Москва,74000.0,547.6785714285714,['Приключения' 'Стратегии' 'Экшн'],507.945,28
1-8PM6GOF,35.0,M,GRD,['Москва' 'Челябинск'],182000.0,0.0,['Бестселлеры' 'Скидки'],544.635,2
1-8Q7DRH0,31.0,M,SCH,Красноярск,71758.0,77.0,Экшн,1099.0,1
1-8STII0F,39.0,M,GRD,Москва,134000.0,0.0,Казуальные игры,599.0,1
1-8V66FR4,31.0,M,UGR,Санкт-Петербург,2000.0,612.0,Инди,549.0,1
1-8VCSUE7,36.0,M,SCH,Москва,120723.0,0.0,['Xbox подписка' 'Другое'],2564.0,2
1-8VROTCK,41.0,M,UGR,Москва,136662.5,6.5,Стратегии,479.5,4
1-8WP8O72,47.0,F,SCH,Москва,26000.0,0.0,Казуальные игры,2.9,1
1-8XHD8PR,34.0,M,GRD,Москва,590000.0,130.0,Стратегии,1600.0,1
1-8YICJ95,32.0,M,GRD,Новосибирск,590000.0,0.0,Ролевые (RPG),3999.0,1
1-8Z1VYIN,35.0,M,SCH,Москва,74000.0,0.0,Гонки,79.9,1
1-8ZXCXQO,39.0,M,['GRD' 'UGR'],Санкт-Петербург,227112.5,1898.0,['Инди' 'Симуляторы'],770.3,2
1-90G3R60,33.0,M,SCH,Москва,62000.0,0.0,Экшн,29.9,1
1-92KX820,36.0,F,GRD,Москва,104000.0,0.0,Приключения,899.0,1
1-92VIT1J,32.0,M,UGR,Москва,71312.0,0.0,Экшн,5299.0,1
1-970GSU4,32.0,M,UGR,['Москва' 'Омск' 'Санкт-Петербург'],266000.0,50.666666666666664,Симуляторы,1077.0,3
1-994T95G,33.0,M,GRD,Санкт-Петербург,92000.0,0.0,Ролевые (RPG),2799.3,1
1-9BACJT1,37.0,M,GRD,Москва,444800.0,0.0,Стратегии,25.173333333333332,3
1-9CYVREJ,35.0,M,GRD,Москва,290000.0,406.0,['Ролевые (RPG)' 'Скидки'],570.0500000000001,6
1-9GI2D7Q,37.0,M,GRD,Самара,62000.0,737.75,['Инди' 'Ролевые (RPG)' 'Скидки' 'Экшн'],347.0,4
1-9GO5XHC,41.0,M,GRD,Москва,146000.0,0.0,Симуляторы,125.72,1
1-9HG3EOV,39.0,M,GRD,Москва,98000.0,259.0,Ролевые (RPG),2618.44,2
1-9HNRAOQ,40.0,M,GRD,Казань,110000.0,0.0,Экшн,87.0,1
1-9I9DA5C,35.0,M,GRD,Санкт-Петербург,44000.0,2824.0,Приключения,195.0,1
1-9IMOHJ6,61.0,F,GRD,Санкт-Петербург,96800.0,4453.0,Инди,6.0,1
1-9KI9DOI,38.0,M,UGR,Москва,110000.0,0.0,Стратегии,347.0,2
1-9NR0SPJ,40.0,F,GRD,Москва,68000.0,0.0,['Инди' 'Скидки'],179.45,2
1-9O0FCL0,34.0,M,GRD,Москва,62000.0,2876.0,Ролевые (RPG),119.8,1
1-9O7FMY2,41.0,M,GRD,Москва,350000.0,0.0,Скидки,39.09,1
1-9OWWVG7,40.0,M,GRD,Челябинск,74000.0,1002.6666666666666,Инди,125.6277777777778,9
1-9PKHPW3,45.0,M,SCH,Москва,26000.0,0.0,Стратегии,909.0,1
1-9SIURP9,38.0,M,UGR,Москва,62000.0,0.0,Приключения,599.0,1
1-9SL3S5W,33.0,M,GRD,Пермь,164000.0,0.0,['Инди' 'Шутеры'],839.05,2
1-9SY1HT8,38.0,M,GRD,Москва,170000.0,0.0,Скидки,129.0,1
1-9TMXQDO,33.0,M,GRD,Новосибирск,290000.0,0.0,Приключения,329.67,1
1-9UCP4BZ,31.0,M,GRD,Санкт-Петербург,165707.14285714287,222.57142857142858,['Скидки' 'Стратегии' 'Экшн'],468.1642857142857,7
1-9V5SY1I,74.0,F,GRD,Санкт-Петербург,21200.0,0.0,Приключения,329.67,1
1-9WN5XSL,31.0,M,SCH,Воронеж,62000.0,0.0,Ролевые (RPG),1289.0,1
1-9Y5T2ZR,42.0,M,UGR,Москва,86000.0,0.0,Стратегии,515.0,1
1-9YC21T9,46.0,M,GRD,Москва,98000.0,65.0,Ролевые (RPG),1360.0,1
1-9Z1AD0N,55.0,M,GRD,Москва,26000.0,0.0,Казуальные игры,19.8,1
