good_name,category_name,good_price,count,steam_popularity_score,age,gender_cd,monthly_income_amt,education_level,city_nm
APEX LEGENDS - 6700 COINS VIRTUAL CURRENCY,Экшн,6244.5875,8,0.0,23.0,M,104904.0,SCH,Москва
APEX LEGENDS: LOBA EDITION - DLC,Новинки,1049.3,1,0.0,19.0,M,2000.0,GRD,Москва
ARISEN - Chronicles of Var'Nagal,Приключения,372.0,4,0.0,34.75,F,139878.5,GRD,['Воронеж' 'Москва' 'Самара' 'Санкт-Петербург']
ARMORED CORE™ VI FIRES OF RUBICON™,Новинки,2589.566037735849,106,798.0,28.42452830188679,M,98830.71698113208,GRD,Москва
ARMORED CORE™ VI FIRES OF RUBICON™ - Deluxe Edition,Новинки,2999.0,35,0.0,28.17142857142857,M,104288.6,GRD,Москва
ASSAULT GUNNERS HD EDITION,Экшн,242.49,1,0.0,42.0,M,77454.0,GRD,Волгоград
ASSAULT GUNNERS HD EDITION COMPLETE SET,Шутеры,270.62,1,0.0,40.0,M,148016.0,GRD,Санкт-Петербург
Abandon Ship,Приключения,179.8,9,0.0,28.77777777777778,M,114919.77777777778,GRD,['Москва' 'Санкт-Петербург']
Abermore,Ролевые (RPG),925.284,5,0.0,35.6,M,110257.6,GRD,['Красноярск' 'Москва' 'Нижний Новгород' 'Пермь' 'Санкт-Петербург']
Absolute Drift,Экшн,139.5,5,0.0,25.0,M,98031.6,['SCH' 'UGR'],Москва
Absolute Tactics: Daughters of Mercy,['Стратегии' 'Экшн'],702.375,8,0.0,34.625,M,121760.625,GRD,Москва
Academia: School Simulator,Инди,359.09999999999997,3,0.0,28.0,F,172787.33333333334,['GRD' 'SCH' 'UGR'],Москва
Acanthoceras,Приключения,56.194117647058825,17,0.0,21.88235294117647,M,103875.5294117647,SCH,Москва
Aces & Adventures,['Инди' 'Ролевые (RPG)'],596.4,5,0.0,30.4,M,140922.2,GRD,['Краснодар' 'Красноярск' 'Москва' 'Ростов-на-Дону' 'Санкт-Петербург']
Aces of the Luftwaffe,Экшн,21.670270270270272,37,0.0,24.91891891891892,M,102831.32432432432,GRD,Москва
Aces of the Luftwaffe - Squadron,Аркады,245.0,1,0.0,30.0,M,38000.0,UGR,Москва
Achtung! Cthulhu Tactics,['Инди' 'Ролевые (RPG)'],167.4,5,0.0,33.6,M,88031.2,GRD,Санкт-Петербург
Across the Obelisk,['Ролевые (RPG)' 'Стратегии'],989.0,7,434.0,37.714285714285715,M,226104.14285714287,GRD,Москва
Act of War: Direct Action,Стратегии,44.75941176470589,17,0.0,32.294117647058826,M,96582.41176470589,GRD,Москва
Act of War: High Treason,Стратегии,57.12307692307692,13,0.0,31.0,M,67948.76923076923,GRD,['Москва' 'Санкт-Петербург']
Ad Infinitum,Экшн,1999.0,1,0.0,28.0,M,134000.0,GRD,Санкт-Петербург
Adam Wolfe,Казуальные игры,122.20833333333333,6,0.0,33.5,M,169482.0,['GRD' 'SCH' 'UGR'],Новосибирск
Adventures of Chris,Инди,72.0,1,0.0,30.0,M,86000.0,GRD,Санкт-Петербург
Aerial_Knight's Never Yield,['Инди' 'Приключения'],130.05,2,0.0,40.5,M,214625.0,['GRD' 'SCH'],['Санкт-Петербург' 'Челябинск']
Aeronautica Imperialis: Flight Command,Инди,93.21333333333332,6,0.0,27.5,M,98510.66666666667,UGR,Москва
Afterimage,Инди,880.0,3,577.0,31.333333333333332,M,75200.0,UGR,Москва
Against the Storm,Стратегии,733.9144067796611,59,332.0,31.10169491525424,M,135220.35593220338,GRD,Москва
Agatha Christie - The ABC Murders,Приключения,181.29999999999998,3,0.0,28.666666666666668,M,56107.0,GRD,['Красноярск' 'Москва' 'Новосибирск']
Agatha Knife,Инди,127.54285714285716,7,0.0,26.714285714285715,M,119181.71428571429,GRD,Москва
Age of Darkness: Final Stand,Стратегии,774.9909090909091,11,709.0,29.181818181818183,M,180909.0909090909,['GRD' 'SCH'],Москва
Age of Wonders,Ролевые (RPG),25.8,7,0.0,22.428571428571427,M,113277.14285714286,['GRD' 'SCH'],Москва
Age of Wonders 4,Бестселлеры,1600.0,318,130.0,31.08805031446541,M,143375.14779874214,GRD,Москва
Age of Wonders 4: Premium Edition,Стратегии,2900.0,28,0.0,30.785714285714285,M,158490.7857142857,GRD,Москва
Age of Wonders II: The Wizard's Throne,Ролевые (RPG),139.3,5,0.0,31.4,M,119177.2,['GRD' 'UGR'],Новосибирск
Age of Wonders III,Ролевые (RPG),499.0,1,1089.0,28.0,F,52330.0,UGR,Москва
Age of Wonders III - Collection,['Ролевые (RPG)' 'Стратегии'],491.07875,16,0.0,32.6875,M,80748.0,GRD,Москва
Age of Wonders III - Deluxe Edition,Стратегии,486.695,4,0.0,33.25,M,110000.0,GRD,['Воронеж' 'Екатеринбург' 'Москва' 'Самара']
Age of Wonders III - Eternal Lords Expansion - DLC,['Ролевые (RPG)' 'Стратегии'],419.0,2,0.0,22.5,M,52243.0,['GRD' 'SCH'],['Нижний Новгород' 'Санкт-Петербург']
Age of Wonders III - Golden Realms Expansion - DLC,Ролевые (RPG),279.0,3,0.0,39.0,M,236908.33333333334,GRD,Санкт-Петербург
Age of Wonders: Planetfall,Стратегии,406.875,16,1291.0,30.75,M,122906.8125,UGR,Екатеринбург
Age of Wonders: Planetfall - Deluxe Edition,Стратегии,271.25,4,0.0,34.25,['F' 'M'],130640.25,['GRD' 'SCH'],Москва
Age of Wonders: Planetfall - Deluxe Edition Content - DLC,Стратегии,299.01,1,0.0,33.0,M,264313.0,SCH,Нижний Новгород
Age of Wonders: Planetfall - Invasions - DLC,Стратегии,326.25,2,0.0,40.0,M,220361.5,['GRD' 'SCH'],['Москва' 'Ростов-на-Дону']
Age of Wonders: Planetfall - Premium Edition,Стратегии,457.65909090909093,33,0.0,32.39393939393939,M,124074.0303030303,GRD,Москва
Age of Wonders: Planetfall - Revelations - DLC,Стратегии,180.0,1,0.0,26.0,M,134000.0,UGR,Москва
Age of Wonders: Planetfall - Season Pass - DLC,Стратегии,676.6666666666666,3,0.0,34.333333333333336,M,129911.33333333333,['GRD' 'SCH' 'UGR'],['Новосибирск' 'Самара' 'Санкт-Петербург']
Age of Wonders: Shadow Magic,Ролевые (RPG),92.86999999999999,9,0.0,40.888888888888886,M,127226.44444444444,['GRD' 'SCH'],['Краснодар' 'Новосибирск' 'Самара']
Aggelos,Ролевые (RPG),90.0,1,0.0,21.0,M,8000.0,SCH,Москва
Airborne Kingdom,Казуальные игры,304.03846153846155,13,3661.0,29.692307692307693,M,102248.84615384616,['GRD' 'UGR'],['Москва' 'Санкт-Петербург']
Airline Tycoon 2: Gold,Симуляторы,199.025,4,0.0,38.75,M,149610.25,GRD,Москва
Airline Tycoon Deluxe,Симуляторы,116.2,3,0.0,33.666666666666664,M,132000.0,GRD,['Екатеринбург' 'Москва' 'Санкт-Петербург']
Alan Wake,Шутеры,278.74285714285713,77,1656.0,26.038961038961038,M,126960.03896103895,GRD,Москва
Alan Wake Collector’s Edition,Хоррор,296.17021276595744,47,0.0,26.06382978723404,M,99882.0425531915,GRD,Москва
Alan Wake’s American Nightmare,Экшн,162.58620689655172,29,0.0,28.896551724137932,M,148935.5172413793,GRD,Санкт-Петербург
Alba: A Wildlife Adventure,['Казуальные игры' 'Приключения'],204.4,14,0.0,30.071428571428573,M,151377.35714285713,SCH,Москва
Alekhine's Gun,Экшн,339.2,15,0.0,29.4,M,137833.26666666666,GRD,Москва
Algo Bot,['Инди' 'Скидки'],59.8,2,4584.0,41.0,M,38000.0,['SCH' 'UGR'],['Волгоград' 'Новосибирск']
Alien Rampage,['Инди' 'Экшн'],46.55,2,0.0,35.0,M,86000.0,GRD,Москва
Alone in the Dark (2008),Скидки,97.6846153846154,52,0.0,29.26923076923077,M,106447.03846153847,GRD,Москва
Alone in the Dark Anthology,['Скидки' 'Хоррор'],87.25,64,0.0,28.515625,M,94824.546875,GRD,Москва
Alone in the Dark: Illumination,Хоррор,129.89,15,0.0,30.0,M,104717.66666666667,SCH,Москва
Alone in the Dark: The New Nightmare,Хоррор,61.646590909090904,44,0.0,29.34090909090909,M,78080.20454545454,GRD,Москва
Alt-Frequencies,Инди,67.58571428571429,7,0.0,31.428571428571427,M,198142.2857142857,GRD,Москва
Alternate Jake Hunter: DAEDALUS The Awakening of Golden Jazz,Приключения,87.0,6,0.0,27.166666666666668,M,57564.333333333336,SCH,['Москва' 'Санкт-Петербург']
American Fugitive,Приключения,43.5,17,0.0,32.294117647058826,M,111583.23529411765,GRD,Москва
Amerzone: The Explorer’s Legacy,Приключения,62.596666666666664,3,0.0,39.333333333333336,M,106000.0,SCH,Москва
Amnesia™: Memories,['Anime' 'Симуляторы'],205.64600000000002,10,0.0,24.4,F,107381.9,UGR,Москва
Anarcute,Инди,89.8,7,0.0,25.0,M,88409.0,GRD,['Екатеринбург' 'Санкт-Петербург']
Ancient Aliens: The Game,['Симуляторы' 'Стратегии'],321.9,5,0.0,27.6,M,122480.0,SCH,Москва
Ancient Enemy,Ролевые (RPG),137.5,4,0.0,36.5,M,144540.0,GRD,['Краснодар' 'Омск']
Ancient Space,Стратегии,287.015,2,0.0,36.0,M,43400.0,['GRD' 'UGR'],Санкт-Петербург
Angelo Skate Away,['Инди' 'Экшн'],42.25,2,0.0,29.0,M,20000.0,SCH,['Новосибирск' 'Санкт-Петербург']
Animation Arts Collection,Скидки,209.69999999999996,24,0.0,32.375,M,117269.66666666667,GRD,Москва
Anna - Extended Edition,Приключения,74.7,6,0.0,28.166666666666668,M,92842.0,UGR,['Казань' 'Новосибирск']
Anno 2205 - Standard Edition,['Симуляторы' 'Стратегии'],417.25,2,0.0,33.0,M,38600.0,['GRD' 'UGR'],['Москва' 'Санкт-Петербург']
Anno 2205 - Ultimate Edition,Симуляторы,2079.0,2,0.0,27.5,M,104864.5,SCH,Москва
Another Lost Phone: Laura's Story,Инди,59.153,10,0.0,25.3,M,69407.6,GRD,Москва
Anthem,Экшн,374.75,2,0.0,34.0,M,317361.5,SCH,['Москва' 'Санкт-Петербург']
Antioch: Scarlet Bay,Инди,133.0,6,0.0,32.833333333333336,M,76397.5,GRD,['Москва' 'Уфа']
Anvil Saga,Ролевые (RPG),333.9450980392157,51,0.0,28.607843137254903,M,135159.07843137256,GRD,Москва
Apex Legends: 1000 Coins - DLC,Экшн,749.0,262,0.0,23.6793893129771,M,94045.47709923664,SCH,Москва
Apex Legends: 11500 Coins,Бестселлеры,7499.0,54,0.0,26.666666666666668,M,702757.1481481482,GRD,Москва
Apex Legends: 2150 Coins,Экшн,1499.0,287,0.0,24.181184668989548,M,139772.0,SCH,Москва
Apex Legends: 4350 Coins,Экшн,2999.0,307,0.0,24.44299674267101,M,136405.4951140065,SCH,Москва
Apex Legends: 6700 Coins,Бестселлеры,4599.0,65,0.0,24.53846153846154,M,441228.0153846154,SCH,Москва
AquaNox,Экшн,29.898000000000003,15,0.0,33.86666666666667,M,83040.0,GRD,Москва
AquaNox 2: Revelation,Экшн,30.9375,12,0.0,33.0,M,97173.75,GRD,Санкт-Петербург
Aquanox Deep Descent,['Шутеры' 'Экшн'],501.512,5,4626.0,37.2,M,88825.8,GRD,Москва
Aquanox Deep Descent - Collector's Edition,['Ролевые (RPG)' 'Экшн'],539.714,5,0.0,33.2,M,51680.0,SCH,Екатеринбург
Aquarium Designer,Инди,212.38000000000002,5,0.0,36.6,M,157282.4,['GRD' 'SCH'],['Москва' 'Самара']
Arabel,Инди,136.0,8,0.0,28.5,M,147390.375,GRD,Москва
Arcade Classics Anniversary Collection,Аркады,87.0,5,0.0,33.8,M,70385.4,['GRD' 'UGR'],['Москва' 'Новосибирск']
ArcaniA,Ролевые (RPG),143.355,14,3316.0,27.928571428571427,M,115596.78571428571,GRD,['Москва' 'Уфа']
ArcaniA: Fall of Setarrif,Ролевые (RPG),83.83,9,0.0,31.333333333333332,M,85856.55555555556,GRD,Москва
Arelite Core,Ролевые (RPG),419.0,1,0.0,39.0,M,448400.0,SCH,Челябинск
Arietta of Spirits,Приключения,156.0,9,0.0,29.77777777777778,M,70215.66666666667,['GRD' 'UGR'],Москва
Armored Brigade,Скидки,616.25,2,0.0,25.0,M,60414.0,SCH,Санкт-Петербург
Armored Brigade Nation Pack: Czechoslovakia - Netherlands - DLC,Скидки,252.0,1,0.0,20.0,M,355267.0,SCH,Санкт-Петербург
Armored Brigade Nation Pack: France - Belgium - DLC,Стратегии,252.0,1,0.0,32.0,M,171124.0,SCH,Санкт-Петербург
Army General,Стратегии,72.0,5,0.0,24.4,M,104662.2,['GRD' 'UGR'],Москва
Arpsic,['Казуальные игры' 'Скидки'],119.7,4,0.0,27.5,M,114829.0,GRD,Москва
Arson and Plunder: Unleashed,Инди,19.95,6,0.0,31.5,M,81000.0,SCH,Красноярск
Art of Rally,Скидки,387.5,9,0.0,33.55555555555556,M,171239.44444444444,SCH,Москва
As Far As The Eye,Инди,162.75,1,3665.0,36.0,M,136365.0,GRD,Челябинск
Ascent Spirit,VR,299.0,1,0.0,26.0,M,129459.0,GRD,Москва
Ashen,Экшн,383.53125,48,0.0,26.395833333333332,M,92458.70833333333,SCH,Москва
Ashen - Nightstorm Isle - DLC,Экшн,118.25333333333333,15,0.0,27.333333333333332,M,99993.4,['GRD' 'SCH'],Москва
Ashina: The Red Witch,['Инди' 'Казуальные игры'],161.875,2,0.0,28.0,['F' 'M'],113513.5,['GRD' 'UGR'],Санкт-Петербург
Aspire: Ina's Tale,Новинки,199.24481481481482,27,0.0,27.11111111111111,F,130900.96296296296,GRD,Москва
Assassin's Creed,Приключения,373.87692307692305,13,1297.0,26.307692307692307,M,111340.30769230769,SCH,Москва
Assassin's Creed Chronicles: China,Экшн,419.0,2,0.0,39.5,F,167000.0,GRD,Москва
Assassin's Creed Chronicles: Trilogy,Приключения,311.7,1,0.0,32.0,M,176353.0,SCH,Санкт-Петербург
Assassin's Creed II,Приключения,223.46666666666667,3,590.0,19.666666666666668,M,80619.0,GRD,['Волгоград' 'Воронеж' 'Санкт-Петербург']
Assassin's Creed II - Deluxe Edition,Экшн,419.0,15,0.0,26.266666666666666,M,121331.0,GRD,Москва
Assassin's Creed III Remastered,Экшн,1251.75,6,1070.0,28.333333333333332,M,140889.16666666666,SCH,['Москва' 'Самара']
Assassin's Creed IV Black Flag - Gold Edition,Экшн,1445.354,5,0.0,32.8,M,169317.0,GRD,Москва
Assassin's Creed Odyssey,Экшн,1013.4833333333333,18,124.0,28.0,M,85547.88888888889,GRD,Санкт-Петербург
Assassin's Creed Odyssey - Deluxe Edition,Приключения,865.3846153846154,13,0.0,29.0,M,107089.61538461539,GRD,Москва
Assassin's Creed Odyssey - Season Pass - DLC,['Приключения' 'Экшн'],1669.0,4,0.0,34.0,M,112787.0,GRD,Москва
Assassin's Creed Odyssey - Ultimate Edition,Ролевые (RPG),4789.0,3,0.0,36.0,M,118770.66666666667,SCH,['Москва' 'Ростов-на-Дону' 'Санкт-Петербург']
Assassin's Creed Origins,Приключения,532.6815789473685,19,235.0,25.842105263157894,M,108684.31578947368,SCH,Москва
Assassin's Creed Origins - Deluxe Edition,Приключения,583.8,12,0.0,25.0,M,108781.0,GRD,Москва
Assassin's Creed Origins - Gold Edition,Приключения,3749.0,3,0.0,31.666666666666668,F,200571.33333333334,GRD,Москва
Assassin's Creed Origins - Season Pass - DLC,Приключения,1669.0,2,0.0,26.0,['F' 'M'],200000.0,['GRD' 'PGR'],['Москва' 'Санкт-Петербург']
Assassin's Creed Rogue,['Приключения' 'Экшн'],458.71333333333337,6,1414.0,27.5,M,106594.5,GRD,Москва
Assassin's Creed Rogue - Deluxe Edition,Приключения,1109.5283333333334,6,0.0,28.5,M,66462.33333333333,SCH,Москва
Assassin's Creed: Brotherhood - Deluxe Edition,Приключения,829.0,3,0.0,33.666666666666664,M,122400.0,GRD,Москва
Assassin's Creed: Revelations,['Приключения' 'Экшн'],625.0,2,0.0,19.5,M,107601.0,SCH,['Самара' 'Санкт-Петербург']
Assassin's Creed: Revelations - Gold Edition,Экшн,829.0,8,0.0,30.125,M,101551.75,['GRD' 'SCH'],Москва
Assassin's Creed: Syndicate,Экшн,917.95,5,0.0,20.6,M,74997.4,SCH,Москва
Assassin's Creed: Syndicate - Gold Edition,Экшн,2919.0,3,0.0,30.666666666666668,M,143558.0,GRD,Москва
Assassin's Creed: Syndicate - Season Pass - DLC,Экшн,1249.0,1,0.0,29.0,M,26000.0,GRD,Екатеринбург
Assassin's Creed: Unity,Экшн,1014.8125,12,0.0,23.5,M,167127.66666666666,GRD,Санкт-Петербург
Assassin’s Creed Liberation HD,Экшн,999.0,1,0.0,31.0,M,59669.0,UGR,Санкт-Петербург
Assassin’s Creed: Brotherhood,Экшн,415.625,8,0.0,21.875,M,82066.0,GRD,Москва
Assassin’s Creed: Freedom Cry,Экшн,250.0,5,0.0,31.8,M,51796.2,GRD,Санкт-Петербург
Assemble with Care,Скидки,153.5625,4,0.0,32.25,['F' 'M'],170202.0,UGR,Москва
Asterigos: Curse of the Stars,Экшн,1000.1414634146342,41,3127.0,32.02439024390244,M,139806.51219512196,GRD,Москва
Astra Exodus,Стратегии,515.0,1,0.0,35.0,M,98000.0,GRD,Санкт-Петербург
Astrologaster,['Инди' 'Казуальные игры'],125.0,2,0.0,31.5,M,240103.5,['GRD' 'SCH'],['Красноярск' 'Москва']
Atomicrops,Экшн,176.4,5,1802.0,24.2,M,97820.8,SCH,Москва
Atomicrops - Deluxe Edition,Инди,304.15250000000003,8,0.0,29.625,M,97853.25,GRD,Москва
Aura: Fate of the Ages,Экшн,50.49,12,0.0,34.916666666666664,M,115671.16666666667,GRD,Москва
Autonauts,Симуляторы,339.66,3,1971.0,28.333333333333332,M,62391.666666666664,GRD,['Москва' 'Новосибирск' 'Ростов-на-Дону']
Autonauts vs Piratebots,['Инди' 'Симуляторы' 'Стратегии'],339.66,3,0.0,28.666666666666668,M,54101.333333333336,GRD,['Новосибирск' 'Ростов-на-Дону' 'Санкт-Петербург']
Avatar: The Last Airbender - Quest for Balance,Приключения,1600.0,1,0.0,22.0,M,4274.0,GRD,Екатеринбург
Azur Lane: Crosswave,Шутеры,426.25,12,3518.0,24.916666666666668,M,82266.08333333333,GRD,['Екатеринбург' 'Москва']
Azur Lane: Crosswave - Deluxe Pack - DLC,Ролевые (RPG),53.625,4,0.0,23.25,M,104885.25,['GRD' 'SCH'],Москва
BACK 4 BLOOD,Скидки,509.9792,25,0.0,24.76,M,101239.44,['GRD' 'SCH'],Москва
BACK 4 BLOOD: DELUXE EDITION,Скидки,699.3411111111111,9,0.0,23.11111111111111,M,92886.22222222222,GRD,['Москва' 'Самара']
BACK 4 BLOOD: ULTIMATE EDITION,Экшн,754.9198571428572,70,0.0,26.742857142857144,M,92316.31428571428,['GRD' 'SCH'],Москва
BAFL - Brakes Are For Losers,Гонки,59.8,1,0.0,39.0,M,26000.0,UGR,Омск
BAJA: Edge of Control HD,Спорт,393.3125,4,0.0,32.25,M,111696.25,['GRD' 'SCH'],Санкт-Петербург
BASEBALL STARS 2,Аркады,189.0,1,0.0,29.0,M,70400.0,GRD,Санкт-Петербург
BATTALION 1944,Экшн,515.0,3,0.0,33.666666666666664,M,42000.0,UGR,Пермь
BATTLEFIELD 2042,Экшн,1749.5,1,0.0,37.0,M,134000.0,GRD,Москва
BATTLEFIELD V,Скидки,624.75,4,0.0,20.75,M,166716.5,GRD,Москва
BATTLETECH,Стратегии,271.875,60,394.0,33.2,M,122082.18333333333,GRD,Москва
BATTLETECH - Deluxe Content DLC - DLC,Экшн,149.5,1,0.0,44.0,M,52003.0,SCH,Москва
BATTLETECH - Deluxe Edition,Стратегии,232.5,2,0.0,34.5,M,257238.5,GRD,['Москва' 'Нижний Новгород']
BATTLETECH - Flashpoint - DLC,Стратегии,217.5,1,0.0,44.0,M,354442.0,SCH,Москва
BATTLETECH - Heavy Metal - DLC,['Приключения' 'Экшн'],435.0,2,0.0,43.5,M,74000.0,GRD,['Краснодар' 'Москва']
BATTLETECH - Mercenary Collection,Стратегии,799.284,15,0.0,35.6,M,144478.93333333332,GRD,Москва
BATTLETECH - Season Pass - DLC,Стратегии,651.0,15,0.0,34.53333333333333,M,146996.86666666667,GRD,Москва
BATTLETECH - Shadow Hawk Pack - DLC,Стратегии,68.0,3,0.0,28.333333333333332,M,98867.0,['GRD' 'SCH' 'UGR'],Санкт-Петербург
BATTLETECH - Urban Warfare - DLC,Стратегии,217.5,1,0.0,44.0,M,228983.0,GRD,Москва
BE-A Walker,Симуляторы,88.06,10,0.0,28.4,M,93748.1,SCH,Москва
BEAT ARENA,Экшн,515.0,5,0.0,39.2,M,106726.4,UGR,Москва
BIOMUTANT,Экшн,1278.482380952381,63,1819.0,28.761904761904763,M,123965.55555555556,SCH,Москва
BIPED,['Приключения' 'Стратегии' 'Экшн'],267.33076923076925,26,0.0,28.653846153846153,M,81654.0,SCH,Москва
BLACK CLOVER: QUARTET KNIGHTS,Экшн,179.85,1,0.0,20.0,M,44000.0,SCH,Москва
BLACK CLOVER: QUARTET KNIGHTS Deluxe Edition,Экшн,239.85,1,0.0,22.0,M,50000.0,UGR,Санкт-Петербург
BLAZBLUE: CROSS TAG BATTLE - Special Edition,Экшн,619.5,1,0.0,26.0,M,26000.0,GRD,Волгоград
BOMBFEST,Инди,51.8,1,0.0,39.0,M,26000.0,SCH,Новосибирск
BURNOUT PARADISE REMASTERED,Скидки,359.7,2,0.0,24.0,M,50000.0,SCH,['Красноярск' 'Москва']
Babylon Pinball,Казуальные игры,166.88,1,0.0,36.0,M,170000.0,SCH,Красноярск
Back to Bed,Инди,14.9,17,4490.0,24.41176470588235,M,96174.88235294117,SCH,Санкт-Петербург
Bad North: Jotunn Edition,Экшн,330.3529411764706,17,0.0,27.11764705882353,M,90541.05882352941,GRD,Москва
Bang Bang Racing,Аркады,26.875,10,0.0,28.2,M,85774.8,['GRD' 'SCH'],Москва
